Id,Label,timeset,Cluter-ID,att2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,eigencentrality,modularity_class
1,Ádám Mirkóczki,,4,Jobbik Magyarországért Mozgalom,3,3,6,3,6,9,7,0.252252,0.345578,0.000829,0.002088,0.3,0.021727,1
8,András Schiffer,,0,Lehet Más a Politika,4,4,8,17,13,30,9,0.191358,0.302471,0.000812,0.009217,0.583333,0.034681,0
10,Anita Heringes,,5,Magyar Szocialista Párt,0,7,7,0,14,14,7,0.280702,0.432589,0,0.000789,0.52381,0,4
11,Antal Rogán,,3,Fidesz – Magyar Polgári Szövetség,29,2,31,48,2,50,3,0.555556,0.666667,0.000034,0.075673,0.094253,0.476256,3
15,Attila Mesterházy,,5,Magyar Szocialista Párt,20,2,22,77,5,82,7,0.240385,0.320381,0.000634,0.038164,0.152381,0.211014,4
18,Attila Tamás Harangozó,,5,Magyar Szocialista Párt,18,3,21,18,17,35,7,0.242718,0.340381,0.000076,0.005514,0.165789,0.177229,4
26,Bence Tuzson,,3,Fidesz – Magyar Polgári Szövetség,1,6,7,1,10,11,4,0.486486,0.606481,0.000051,0.000832,0.5,0.003752,3
27,Benedek R. Sallai,,0,Lehet Más a Politika,2,4,6,2,12,14,9,0.191358,0.302471,0,0.001775,0.75,0.018464,0
28,Bernadett Szél,,0,Lehet Más a Politika,2,4,6,10,12,22,9,0.191358,0.302471,0,0.005392,0.75,0.018464,0
29,Bertalan Tóth,,5,Magyar Szocialista Párt,2,4,6,4,18,22,7,0.245098,0.360381,0.000013,0.014884,0.65,0.074011,4
33,Dániel Kárpát Z.,,4,Jobbik Magyarországért Mozgalom,6,3,9,6,7,13,6,0.307692,0.392857,0.002013,0.004625,0.347222,0.062106,1
37,Előd Novák,,4,Jobbik Magyarországért Mozgalom,12,3,15,13,7,20,7,0.247788,0.33665,0.001464,0.01225,0.186813,0.08805,1
38,Erik Bánki,,3,Fidesz – Magyar Polgári Szövetség,7,6,13,9,8,17,3,0.592593,0.677083,0.016268,0.002383,0.224359,0.042853,3
39,Erzsébet Schmuck,,0,Lehet Más a Politika,3,3,6,5,8,13,8,0.226277,0.331912,0.002741,0.003108,0.5,0.025619,0
47,Gábor Staudt,,4,Jobbik Magyarországért Mozgalom,6,6,12,6,7,13,6,0.321839,0.452381,0.002111,0.007088,0.219697,0.038791,1
50,Gábor Vona,,4,Jobbik Magyarországért Mozgalom,17,1,18,32,1,33,7,0.239316,0.289031,0.004285,0.01981,0.111111,0.12377,1
52,Gabriella Selmeczi,,3,Fidesz – Magyar Polgári Szövetség,3,3,6,4,3,7,3,0.583333,0.690476,0.001827,0.001514,0.333333,0.021682,3
53,Gergely Bárándy,,5,Magyar Szocialista Párt,10,4,14,10,14,24,7,0.25,0.365751,0.004637,0.001837,0.192308,0.036266,4
55,Gergely Gulyás,,3,Fidesz – Magyar Polgári Szövetség,7,7,14,9,9,18,3,0.592593,0.697917,0.001451,0.001753,0.275641,0.039373,3
59,György Balla,,3,Fidesz – Magyar Polgári Szövetség,6,9,15,7,9,16,3,0.64,0.760417,0.010399,0.001774,0.25,0.048204,3
64,György Szilágyi,,4,Jobbik Magyarországért Mozgalom,0,6,6,0,6,6,6,0.322222,0.448276,0,0.000789,0.533333,0,1
67,Gyula Vantara,,3,Fidesz – Magyar Polgári Szövetség,129,2,131,129,2,131,3,0.555556,0.666667,0.004492,0.154361,0.016473,0.998305,2
69,Ildikó Borbély Bangóné,,5,Magyar Szocialista Párt,1,8,9,1,14,15,7,0.281818,0.45192,0.000114,0.000837,0.361111,0.002617,4
72,Imre Vas,,3,Fidesz – Magyar Polgári Szövetség,1,13,14,1,19,20,3,0.666667,0.8,0.000389,0.000957,0.241758,0.002617,3
73,Imre Vejkey,,3,Kereszténydemokrata Néppárt,0,6,6,0,9,9,8,0.264706,0.444048,0,0.000789,0.366667,0,5
74,István Apáti,,4,Jobbik Magyarországért Mozgalom,1,5,6,1,6,7,6,0.318681,0.431034,0.000364,0.000957,0.4,0.002617,1
76,István Gábor Harangozó,,5,Magyar Szocialista Párt,2,6,8,2,17,19,7,0.264151,0.411054,0.000056,0.000885,0.464286,0.00637,4
86,István Szilárd Németh,,3,Fidesz – Magyar Polgári Szövetség,2,4,6,2,8,10,4,0.457143,0.5625,0.000004,0.001073,0.6,0.021225,3
89,István Vitányi,,3,Fidesz – Magyar Polgári Szövetség,6,3,9,6,3,9,2,0.666667,0.75,0.000135,0.001838,0.208333,0.016839,2
97,János Lázár,,3,Fidesz – Magyar Polgári Szövetség,17,3,20,24,3,27,2,0.666667,0.75,0.001777,0.004835,0.123684,0.082805,2
102,József Tóbiás,,5,Magyar Szocialista Párt,28,3,31,126,7,133,7,0.242718,0.340381,0.001015,0.057684,0.108466,0.297707,4
103,József Varga,,3,Fidesz – Magyar Polgári Szövetség,8,3,11,8,3,11,3,0.6,0.722222,0.000085,0.002221,0.2,0.025421,2
108,Kristóf Szatmáry,,3,Fidesz – Magyar Polgári Szövetség,6,4,10,8,6,14,3,0.666667,0.805556,0.000074,0.001826,0.288889,0.026161,3
111,Lajos Kósa,,3,Fidesz – Magyar Polgári Szövetség,10,3,13,13,4,17,3,0.625,0.766667,0.000057,0.068289,0.242424,0.298872,3
114,Lajos Szűcs,,3,Fidesz – Magyar Polgári Szövetség,6,6,12,6,7,13,4,0.486486,0.606481,0.028311,0.004038,0.159091,0.046713,2
133,Lorántné Hegedűs,,4,Jobbik Magyarországért Mozgalom,9,4,13,9,4,13,5,0.35443,0.445833,0.010617,0.009751,0.212121,0.07325,1
139,Mátyás Firtl,,3,Kereszténydemokrata Néppárt,130,3,133,130,4,134,2,0.714286,0.8,0.008739,0.181493,0.016339,1,2
147,Mónika Dunai,,3,Fidesz – Magyar Polgári Szövetség,1,5,6,1,6,7,4,0.485714,0.593137,0.000051,0.00086,0.466667,0.003996,3
148,Nándor Gúr,,5,Magyar Szocialista Párt,28,4,32,28,7,35,6,0.301205,0.406667,0.018722,0.01798,0.107143,0.297707,4
149,Pál Völner,,3,Fidesz – Magyar Polgári Szövetség,0,7,7,0,7,7,8,0.302083,0.488957,0,0.000789,0.285714,0,2
160,Roland Mengyi,,3,Fidesz – Magyar Polgári Szövetség,1,7,8,1,7,8,3,0.571429,0.6875,0.00014,0.000957,0.428571,0.01526,3
175,Tamás Sneider,,4,Jobbik Magyarországért Mozgalom,6,3,9,6,3,9,6,0.294737,0.372024,0.001041,0.005734,0.309524,0.068019,1
180,Viktor Orbán,,3,Fidesz – Magyar Polgári Szövetség,14,2,16,14,2,16,2,0.625,0.7,0.000047,0.027373,0.175,0.157991,5
187,Zoltán Lukács,,5,Magyar Szocialista Párt,3,4,7,3,18,21,7,0.245098,0.360381,0.000022,0.003125,0.533333,0.079142,4
192,Zsolt Legény,,5,Magyar Szocialista Párt,0,7,7,0,15,15,7,0.271028,0.431363,0,0.000789,0.52381,0,4
197,Zsolt Semjén,,3,Kereszténydemokrata Néppárt,15,3,18,37,3,40,2,0.714286,0.8,0.002297,0.08225,0.128676,0.298376,5
2,Ágnes Kunhalmi,,5,Magyar Szocialista Párt,2,3,5,2,7,9,7,0.247619,0.34652,0.000008,0.000974,0.5,0.00637,4
6,Alpár Gyopáros,,3,Fidesz – Magyar Polgári Szövetség,0,5,5,0,6,6,4,0.486486,0.592593,0,0.000789,0.4,0,3
13,Attila Gelencsér,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,4,4,2,0.666667,0.75,0,0.000789,0.5,0,2
14,Attila József Móring,,3,Kereszténydemokrata Néppárt,0,4,4,0,5,5,2,0.75,0.833333,0,0.000789,0.666667,0,5
17,Attila Szabolcs,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,4,4,4,0.435897,0.539216,0,0.000789,0.666667,0,3
19,Attila Tilki,,3,Fidesz – Magyar Polgári Szövetség,1,4,5,1,4,5,2,0.666667,0.75,0.000025,0.000885,0.45,0.002617,2
20,Balázs Ander,,4,Jobbik Magyarországért Mozgalom,0,4,4,0,4,4,7,0.258621,0.364206,0,0.000789,0.416667,0,1
21,Balázs Győrffy,,3,Fidesz – Magyar Polgári Szövetség,1,3,4,1,3,4,3,0.583333,0.690476,0,0.001101,0.666667,0.004034,2
22,Balázs Róbert Simon,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,4,4,4,0.446809,0.535714,0,0.000789,0.666667,0,3
25,Bence Rétvári,,3,Kereszténydemokrata Néppárt,0,5,5,0,7,7,2,0.777778,0.857143,0,0.000789,0.5,0,5
31,Csaba Hende,,3,Fidesz – Magyar Polgári Szövetség,2,2,4,3,2,5,3,0.545455,0.638889,0,0.001169,0.5,0.005235,2
35,Dezső Hiszékeny,,5,Magyar Szocialista Párt,0,4,4,0,8,8,7,0.25,0.365751,0,0.000789,0.75,0,4
36,Dóra Dúró,,4,Jobbik Magyarországért Mozgalom,2,2,4,2,2,4,9,0.174419,0.238108,0.000761,0.001914,0.166667,0.006898,1
54,Gergely Farkas,,4,Jobbik Magyarországért Mozgalom,1,3,4,1,3,4,8,0.208333,0.29131,0.001421,0.001603,0.166667,0.005204,1
62,György Rubovszky,,3,Kereszténydemokrata Néppárt,0,4,4,0,6,6,3,0.636364,0.761905,0,0.000789,0.5,0,5
80,István Ikotity,,0,Lehet Más a Politika,4,1,5,13,3,16,10,0.161458,0.221377,0,0.004818,0.833333,0.034681,0
81,István Jakab,,3,Fidesz – Magyar Polgári Szövetség,1,3,4,1,3,4,3,0.583333,0.690476,0,0.001101,0.666667,0.004034,2
82,István Józsa,,5,Magyar Szocialista Párt,0,5,5,0,9,9,7,0.257143,0.389242,0,0.000789,0.65,0,4
84,István Simicskó,,3,Kereszténydemokrata Néppárt,0,5,5,0,7,7,2,0.857143,0.916667,0,0.000789,0.55,0,5
87,István Tiba,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,4,4,2,0.7,0.785714,0,0.000789,0.583333,0,2
99,János Volner,,4,Jobbik Magyarországért Mozgalom,1,3,4,1,3,4,6,0.307692,0.392857,0.004437,0.017692,0.5,0.035895,1
107,Katalin Csöbör,,3,Fidesz – Magyar Polgári Szövetség,1,3,4,1,3,4,3,0.583333,0.690476,0.00198,0.000957,0.5,0.01526,2
110,Lajos Korózs,,5,Magyar Szocialista Párt,1,4,5,1,7,8,7,0.25,0.365751,0.000005,0.00084,0.6,0.003752,4
118,László Kiss,,5,Magyar Szocialista Párt,0,4,4,0,9,9,7,0.25,0.365751,0,0.000789,0.75,0,4
120,László Kucsák,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,5,5,3,0.666667,0.805556,0,0.000789,0.75,0,3
125,László Szakács,,5,Magyar Szocialista Párt,1,4,5,1,7,8,5,0.384615,0.478,0.017195,0.002972,0.416667,0.071394,4
128,László Teleki,,5,Magyar Szocialista Párt,0,4,4,0,5,5,7,0.254717,0.370723,0,0.000789,0.583333,0,4
131,László Vécsey,,3,Fidesz – Magyar Polgári Szövetség,0,5,5,0,6,6,3,0.545455,0.62037,0,0.000789,0.45,0,3
132,László Vigh,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,4,4,2,0.666667,0.75,0,0.000789,0.5,0,2
135,Márk Bíró,,3,Fidesz – Magyar Polgári Szövetség,2,2,4,2,2,4,3,0.545455,0.638889,0,0.000966,0.5,0.00637,2
136,Márta Demeter,,5,Magyar Szocialista Párt,0,5,5,0,11,11,7,0.257143,0.389242,0,0.000789,0.65,0,4
143,Miklós Seszták,,3,Kereszténydemokrata Néppárt,0,4,4,0,6,6,2,0.75,0.833333,0,0.000789,0.666667,0,5
150,Péter Ágh,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,5,5,2,0.7,0.785714,0,0.000789,0.5,0,2
151,Péter Cseresnyés,,3,Fidesz – Magyar Polgári Szövetség,0,5,5,0,6,6,4,0.459459,0.573529,0,0.000789,0.5,0,3
152,Péter Csizi,,3,Fidesz – Magyar Polgári Szövetség,2,3,5,2,3,5,3,0.6,0.722222,0,0.001085,0.6,0.018787,3
153,Péter Harrach,,3,Kereszténydemokrata Néppárt,0,5,5,0,8,8,2,0.777778,0.857143,0,0.000789,0.55,0,5
157,Richárd Hörcsik,,3,Fidesz – Magyar Polgári Szövetség,0,5,5,0,5,5,2,0.692308,0.777778,0,0.000789,0.4,0,2
158,Róbert Répássy,,3,Fidesz – Magyar Polgári Szövetség,0,4,4,0,4,4,2,0.7,0.785714,0,0.000789,0.5,0,2
