Id,Label,timeset,Cluter-ID,att2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,modularity_class,pageranks,componentnumber,strongcompnum,isperiphery,iscenter,eigencentrality
7,Anaat Berko,,60,Likud,17,3,20,63,28,91,2,0.636364,0.714286,0.000144,0.228947,0,0.013849,0,7,false,false,0.283517
11,Avraham Naguisa,,68,Likud,25,5,30,91,41,132,2,0.727273,0.8125,0.002413,0.16092,0,0.015455,0,8,false,false,0.29914
19,David Bitan,,77,Likud,67,1,68,662,3,665,2,0.6,0.666667,0.003808,0.088894,0,0.083338,0,3,false,false,1
20,Dov Khenin,,79,Joint List,10,34,44,104,372,476,3,0.779661,0.865942,0.012988,0.203488,1,0.004758,0,46,false,false,0.020287
22,Eitan Cabel,,79,Zionist Union,6,19,25,24,202,226,4,0.653061,0.778646,0.002247,0.25,1,0.004045,0,44,false,false,0.018026
26,Elie Elalouf,,78,Kulanu,37,4,41,184,24,208,3,0.588235,0.683333,0.002376,0.145122,0,0.015526,0,14,false,false,0.364278
30,Gila Gamliel,,79,Likud,28,2,30,197,19,216,1,1,1,0.000634,0.227586,1,0.082985,0,2,false,false,0.520927
32,Haim Katz,,79,Likud,25,2,27,126,21,147,1,1,1,0.000017,0.245014,1,0.011115,0,18,false,false,0.279297
36,Isaac Herzog,,79,Zionist Union,30,3,33,142,18,160,4,0.434783,0.504167,0.007371,0.158144,1,0.016349,0,24,false,false,0.247696
38,Itzik Shmuli,,79,Zionist Union,28,21,49,149,155,304,3,0.74359,0.850575,0.026436,0.179422,1,0.011319,0,32,false,false,0.139748
49,Merav Michaeli,,79,Zionist Union,19,19,38,162,124,286,4,0.634615,0.765152,0.014555,0.197724,1,0.007922,0,33,false,false,0.06944
55,Micky Rosenthal,,79,Zionist Union,9,15,24,35,122,157,4,0.59322,0.697619,0.003076,0.318841,1,0.004765,0,40,false,false,0.031549
56,Miki Zohar,,74,Likud,41,4,45,206,33,239,2,0.75,0.833333,0.003784,0.118182,0,0.031613,0,6,false,false,0.504769
57,Miri Regev,,79,Likud,69,0,69,1244,0,1244,0,0,0,0,0.086957,1,0.177533,0,0,false,false,0.985803
59,Moshe Gafni,,79,United Torah Judaism,22,11,33,122,78,200,3,0.678571,0.780702,0.018488,0.248106,1,0.0147,0,20,false,true,0.278977
61,Nava Boker,,34,Likud,9,3,12,32,25,57,2,0.636364,0.714286,0.000285,0.19697,0,0.006381,0,9,false,false,0.04411
63,Nurit Koren,,69,Likud,25,4,29,110,34,144,2,0.666667,0.75,0.001156,0.189655,0,0.013878,0,11,false,false,0.313012
67,Omer Barlev,,79,Zionist Union,10,10,20,37,65,102,4,0.508475,0.622222,0.001583,0.321053,1,0.004833,0,38,false,false,0.042662
68,Oren Asaf Hazan,,54,Likud,8,6,14,25,39,64,2,0.75,0.833333,0.00101,0.313187,0,0.005504,0,29,false,false,0.083421
76,Shelly Yachimovich,,79,Zionist Union,25,13,38,197,89,286,3,0.6875,0.787879,0.00703,0.241821,1,0.009845,0,25,false,true,0.191756
79,Stav Shafir,,79,Zionist Union,21,10,31,84,68,152,4,0.575,0.692029,0.005947,0.221505,1,0.008432,0,26,false,false,0.134646
81,Tali Ploskov,,57,Kulanu,8,9,17,33,64,97,2,0.8,0.875,0.001869,0.290441,0,0.004974,0,30,false,false,0.030328
86,Uri Maklev,,75,United Torah Judaism,5,13,18,18,129,147,3,0.714286,0.816667,0.002088,0.277778,1,0.004154,0,22,false,false,0.041507
92,Yakov Margi,,80,Shas,18,12,30,73,78,151,2,0.875,0.928571,0.018086,0.233333,0,0.011003,0,15,false,false,0.255125
93,Yariv Levin,,79,Likud,47,1,48,351,25,376,1,1,1,0.000404,0.14539,1,0.087843,0,1,false,true,0.750366
100,Yoav Kisch,,76,Likud,43,2,45,237,26,263,2,0.666667,0.75,0.002459,0.139899,0,0.049673,0,4,false,false,0.704142
2,Abdullah Abu Maaruf,,63,Joint List,0,13,13,0,115,115,4,0.54023,0.618794,0,0.365385,2,0.003109,0,47,false,false,0
3,Ahmad Tibi,,43,Joint List,2,6,8,15,38,53,4,0.440476,0.518018,0.000066,0.392857,2,0.003606,0,45,false,false,0.011028
4,Aida Touma-Sliman,,53,Joint List,0,11,11,0,97,97,4,0.528571,0.619369,0,0.354545,2,0.003109,0,48,false,false,0
5,Aliza Lavie,,65,Yesh Atid,0,11,11,0,72,72,4,0.521739,0.592014,0,0.336364,1,0.003109,0,50,false,false,0
9,Avi Dichter,,12,Likud,0,2,2,0,11,11,3,0.555556,0.666667,0,0.5,0,0.003109,0,51,true,false,0
14,Ayman Udeh,,79,Joint List,17,13,30,320,59,379,4,0.537313,0.645833,0.013045,0.195402,2,0.011532,0,42,false,false,0.046439
17,David Amsalem,,59,Likud,25,2,27,90,21,111,3,0.555556,0.666667,0.000292,0.138177,0,0.022331,0,5,false,false,0.33683
28,Esawi   Frej,,79,Meretz,0,18,18,0,130,130,3,0.585366,0.673611,0,0.379085,1,0.003109,0,53,false,false,0
35,Ilan Gilon,,79,Meretz,0,23,23,0,220,220,3,0.623377,0.725694,0,0.294466,1,0.003109,0,54,false,false,0
41,Karin Elharrar,,71,Yesh Atid,0,20,20,0,110,110,3,0.588235,0.683333,0,0.239474,0,0.003109,0,57,false,false,0
43,Manuel Trajtenberg,,15,Zionist Union,0,4,4,0,16,16,5,0.387097,0.477083,0,0.25,0,0.003109,0,58,false,false,0
48,Merav Ben Ari,,62,Kulanu,2,12,14,7,83,90,2,0.875,0.928571,0.003612,0.285714,0,0.003874,0,31,false,false,0.046521
51,Michael Oren,,17,Kulanu,2,2,4,8,8,16,3,0.555556,0.666667,0,0.5,0,0.003874,0,21,false,false,0.046521
53,Michal Rozin,,79,Meretz,0,28,28,0,266,266,3,0.690141,0.782313,0,0.283069,1,0.003109,0,59,false,false,0
54,Mickey Levy,,70,Yesh Atid,0,15,15,0,87,87,3,0.578313,0.649306,0,0.285714,0,0.003109,0,60,false,false,0
58,Mordhay Yogev,,20,The Jewish Home,6,5,11,23,34,57,3,0.666667,0.791667,0.005891,0.263636,0,0.005278,0,13,false,false,0.068239
60,Nachman Shai,,79,Zionist Union,5,17,22,22,138,160,3,0.606557,0.711712,0.001328,0.359307,1,0.003716,0,41,false,false,0.019069
69,Orly Levi-Abekasis,,73,Yisrael Beiteinu,0,21,21,0,126,126,5,0.614035,0.77,0,0.233333,1,0.003109,0,62,false,false,0
