W(u),W(v),d3,var3,w_centrality,uw_centrality,role(u),role(v),lane(u),lane(v),sign,score
172,-332,-0.5684931506849316,122.93343689686014,0.0,9.192866335723479e-05,TOP,TOP,DUO,DUO_SUPPORT,1,0.061224489795918366
172,52,0.7137931034482758,24.59946307123255,0.0,9.25626541390088e-05,TOP,MIDDLE,DUO,DUO_CARRY,1,0.25
172,212,1.2602739726027397,19.423433601657017,0.0014019121161978306,9.192866335723479e-05,TOP,MIDDLE,DUO,DUO_SUPPORT,1,0.5714285714285714
172,56,0.7821428571428571,19.905773169482845,0.0,9.594157361060085e-05,TOP,TOP,DUO,DUO_SUPPORT,1,0.18181818181818182
172,-148,0.03793103448275862,17.109282901801695,0.0,9.256705685277116e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.3333333333333333
172,-128,0.17123287671232876,24.54102527891541,0.0,9.192866335723479e-05,TOP,MIDDLE,DUO,DUO,-1,-0.17647058823529413
172,-232,-0.22758620689655173,24.183319412957882,0.0,9.25806396931017e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.058823529411764705
172,116,0.9895104895104895,22.312170285854496,0.0,9.39108081965225e-05,TOP,NONE,DUO,DUO_SUPPORT,-1,-0.09090909090909091
172,-304,-0.4315068493150685,44.259897377959796,0.0,9.192866335723479e-05,TOP,BOTTOM,DUO,DUO_CARRY,-1,-0.0967741935483871
172,616,2.6986301369863015,47.13223179400273,0.0,9.192866335723479e-05,TOP,TOP,DUO,DUO,0,0.0
172,16,0.6232876712328768,24.709833827613803,0.0,9.192866335723479e-05,TOP,MIDDLE,DUO,SOLO,1,0.12
172,12,0.6095890410958904,30.163206703384645,0.0,9.192866335723479e-05,TOP,JUNGLE,DUO,NONE,1,0.17647058823529413
172,-12,0.5616438356164384,18.65254436755637,0.0012410369553226695,9.192866335723479e-05,TOP,NONE,DUO,DUO_SUPPORT,-1,-0.14285714285714285
172,276,1.5275862068965518,21.12899415344231,0.0009192866335723479,9.255831173639392e-05,TOP,MIDDLE,DUO,DUO_SUPPORT,0,0.0
172,348,1.595890410958904,53.753660029186086,0.0,9.192866335723479e-05,TOP,MIDDLE,DUO,SOLO,1,0.13432835820895522
172,160,1.1241379310344828,21.548550292327885,0.0,9.261469815840819e-05,TOP,NONE,DUO,DUO_SUPPORT,1,0.06666666666666667
172,-72,0.3356643356643357,21.030793767635874,0.0,9.38945096201103e-05,TOP,MIDDLE,DUO,DUO,1,0.2222222222222222
172,52,0.7945205479452054,18.40436849785812,0.003263467549181835,9.192866335723479e-05,TOP,NONE,DUO,DUO_SUPPORT,-1,-0.2857142857142857
